,clmno,pol_year,region,pol_no,usage_type,coverage,ultloss,acc_year
37,CLM2011200000619,2011,region_1,2011OA00858,private,PD,7676.895265790006,2011
38,CLM2011300000133,2011,region_1,2011OA00858,private,PD,6076.423992171946,2011
39,CLM2011100002132,2011,region_1,2011OA00878,private,PD,401.4955234248878,2011
40,CLM2011200000634,2011,region_1,2011OA00884,private,PD,9407.832162048433,2011
41,CLM2011300000135,2011,region_1,2011OA00884,private,PD,1264.002156931755,2011
42,CLM2011100002184,2011,region_1,2011OA00897,private,PD,1433.1997650177625,2011
43,CLM2011100002185,2011,region_1,2011OA00898,private,PD,2943.142687439143,2011
44,CLM2011100002231,2011,region_1,2011OA00915,private,PD,5866.5943098626185,2011
45,CLM2011300000141,2011,region_1,2011OA00915,private,PD,10212.273982218097,2011
46,CLM2011100002290,2011,region_1,2011OA00935,private,PD,467.9836001841312,2011
47,CLM2011100002341,2011,region_1,2011OA00953,private,PD,1400.7221488389118,2011
48,CLM2011100002351,2011,region_1,2011OA00959,private,PD,240.27062603165118,2011
49,CLM2011200000691,2011,region_1,2011OA00960,private,PD,3566.117018516776,2011
50,CLM2011100002376,2011,region_1,2011OA00970,private,PD,89.11308239319673,2011
51,CLM2011100002475,2011,region_1,2011OA01021,private,PD,300.3350044313248,2011
52,CLM2011200000732,2011,region_1,2011OA01021,private,PD,814.4768603508089,2011
53,CLM2011100002508,2011,region_1,2011OA01033,private,PD,1991.2287098123345,2011
54,CLM2011100002522,2011,region_1,2011OA01040,private,PD,1940.0324474494491,2011
55,CLM2011100002530,2011,region_1,2011OA01049,private,PD,4388.923940274157,2011
56,CLM2011100002532,2011,region_1,2011OA01050,private,PD,1403.8694330114322,2011
57,CLM2011100002564,2011,region_1,2011OA01061,private,PD,2605.9999335913753,2011
58,CLM2011100002669,2011,region_1,2011OA01101,private,PD,1779.6793105700028,2011
59,CLM2011100002707,2011,region_1,2011OA01114,private,PD,6050.380763913609,2011
60,CLM2011100002717,2011,region_1,2011OA01119,private,PD,1773.1711103458442,2011
61,CLM2011100002773,2011,region_1,2011OA01143,private,PD,592.4546830929297,2011
62,CLM2011100002837,2011,region_1,2011OA01164,private,PD,4427.2249529900255,2011
63,CLM2011100002943,2011,region_1,2011OA01207,private,PD,196.22719917993214,2011
64,CLM2011100002992,2011,region_1,2011OA01227,private,PD,3392.982573977314,2011
65,CLM2011100003013,2011,region_1,2011OA01234,private,PD,1310.377109983173,2011
66,CLM2011200000892,2011,region_1,2011OA01258,private,PD,3050.4563944518236,2011
67,CLM2011100003126,2011,region_1,2011OA01274,private,PD,1799.560229158504,2011
68,CLM2011200000903,2011,region_1,2011OA01274,private,PD,306.2184457330184,2011
69,CLM2011100003192,2011,region_1,2011OA01308,private,PD,851.8128994373599,2011
70,CLM2011200000926,2011,region_1,2011OA01308,private,PD,431.71260568239677,2011
71,CLM2011100003214,2011,region_1,2011OA01319,private,PD,1544.9061133730622,2011
72,CLM2011100003250,2011,region_1,2011OA01335,private,PD,8670.982990772753,2011
73,CLM2011100003320,2011,region_1,2011OA01365,private,PD,3148.3370771225736,2011
74,CLM2011100003351,2011,region_1,2011OA01378,private,PD,10019.700649066623,2011
75,CLM2011200000963,2011,region_1,2011OA01378,private,PD,29420.99894426526,2011
76,CLM2011100003389,2011,region_1,2011OA01399,private,PD,2970.4593926242064,2011
77,CLM2011100003410,2011,region_1,2011OA01411,private,PD,2000.3304866113635,2011
78,CLM2011200000995,2011,region_1,2011OA01426,private,PD,2556.248833061105,2011
79,CLM2011100003548,2011,region_1,2011OA01462,private,PD,114.82927841232002,2011
80,CLM2011100003565,2011,region_1,2011OA01469,private,PD,1892.787204002441,2011
81,CLM2011100003597,2011,region_1,2011OA01487,private,PD,4978.303322814053,2011
82,CLM2011100003674,2011,region_1,2011OA01521,private,PD,2460.7424196595593,2011
83,CLM2011100003726,2011,region_1,2011OA01539,private,PD,1441.6422935006149,2011
84,CLM2011100003739,2011,region_1,2011OA01546,private,PD,5510.384562781143,2011
85,CLM2011100003797,2011,region_1,2011OA01561,private,PD,1425.5059013692673,2011
86,CLM2011100003802,2011,region_1,2011OA01565,private,PD,1074.9953857942176,2011
87,CLM2011100003838,2011,region_1,2011OA01572,private,PD,4043.985180279054,2011
88,CLM2011200001104,2011,region_1,2011OA01572,private,PD,2821.1843421820786,2011
89,CLM2011300000242,2011,region_1,2011OA01572,private,PD,3498.8089727497186,2011
90,CLM2011100003861,2011,region_1,2011OA01582,private,PD,684.8997406990737,2011
91,CLM2011100003892,2011,region_1,2011OA01593,private,PD,1476.4344673631797,2011
92,CLM2011100003917,2011,region_1,2011OA01600,private,PD,760.8111800473877,2011
93,CLM2011100003929,2011,region_1,2011OA01605,private,PD,406.4904215804218,2011
94,CLM2011100003939,2011,region_1,2011OA01608,private,PD,2623.571017738415,2011
95,CLM2011100003943,2011,region_1,2011OA01610,private,PD,1886.1455388103934,2011
96,CLM2011100003948,2011,region_1,2011OA01613,private,PD,5193.257833467055,2011
97,CLM2011400000051,2011,region_1,2011OA01613,private,PD,3798.631174199927,2011
98,CLM2011100003969,2011,region_1,2011OA01623,private,PD,1319.0926091979063,2011
99,CLM2011200001155,2011,region_1,2011OA01648,private,PD,863.2661962871383,2011
100,CLM2011100004065,2011,region_1,2011OA01663,private,PD,1216.1009862311662,2011
101,CLM2011200001164,2011,region_1,2011OA01663,private,PD,326.8876214116257,2011
102,CLM2011100004073,2011,region_1,2011OA01664,private,PD,221.57724634502074,2011
103,CLM2011100004133,2011,region_1,2011OA01682,private,PD,907.0602204791644,2011
104,CLM2011100004227,2011,region_1,2011OA01725,private,PD,56.04673242450574,2011
105,CLM2011100004375,2011,region_1,2011OA01782,private,PD,254.65397038150215,2011
106,CLM2011100004453,2011,region_1,2011OA01811,private,PD,1697.9037488885233,2011
107,CLM2011100004524,2011,region_1,2011OA01839,private,PD,1008.6500785538215,2011
108,CLM2011100004597,2011,region_1,2011OA01878,private,PD,3161.5964440002504,2011
109,CLM2011300000285,2011,region_1,2011OA01878,private,PD,7212.217245406184,2011
110,CLM2011100004624,2011,region_1,2011OA01891,private,PD,2130.109092569168,2011
111,CLM2011300000289,2011,region_1,2011OA01891,private,PD,5725.970986225559,2011
112,CLM2011300000300,2011,region_1,2011OA01980,private,PD,4390.6413533718915,2011
113,CLM2011100004900,2011,region_1,2011OA02027,private,PD,8047.566861027563,2011
114,CLM2011100004918,2011,region_1,2011OA02035,private,PD,3440.9766749256287,2011
115,CLM2011100005013,2011,region_1,2011OA02063,private,PD,1431.876165088456,2011
116,CLM2011100005225,2011,region_1,2011OA02152,private,PD,2234.173973313511,2011
117,CLM2011100005227,2011,region_1,2011OA02154,private,PD,4950.500008726066,2011
118,CLM2011100005314,2011,region_1,2011OA02191,private,PD,11933.806504487793,2011
119,CLM2011100005323,2011,region_1,2011OA02194,private,PD,3308.3607490865097,2011
120,CLM2011100005436,2011,region_1,2011OA02231,private,PD,182.36691268694406,2011
121,CLM2011100005458,2011,region_1,2011OA02241,private,PD,792.2222209727895,2011
122,CLM2011100005585,2011,region_1,2011OA02293,private,PD,3099.4248667704883,2011
123,CLM2011200001590,2011,region_1,2011OA02293,private,PD,4481.525064258206,2011
124,CLM2011100005670,2011,region_1,2011OA02334,private,PD,6772.347758265964,2011
125,CLM2011100005695,2011,region_1,2011OA02343,private,PD,14040.13896031756,2011
126,CLM2011100005751,2011,region_1,2011OA02365,private,PD,1462.8275556033977,2011
127,CLM2011100005796,2011,region_1,2011OA02376,private,PD,124.65194397044554,2011
128,CLM2011200001647,2011,region_1,2011OA02376,private,PD,1835.9294297095391,2011
129,CLM2011100005961,2011,region_1,2011OA02441,private,PD,6444.651206162749,2011
130,CLM2011200001727,2011,region_1,2011OA02457,private,PD,7212.497872156211,2011
131,CLM2011200001730,2011,region_1,2011OA02460,private,PD,1398.763718459393,2011
132,CLM2011100006090,2011,region_1,2011OA02476,private,PD,1909.0119620974865,2011
133,CLM2011200001772,2011,region_1,2011OA02519,private,PD,2759.315196302225,2011
134,CLM2011100006339,2011,region_1,2011OA02565,private,PD,66.67010988298232,2011
135,CLM2011100006438,2011,region_1,2011OA02600,private,PD,1464.8185281701224,2011
136,CLM2011100006458,2011,region_1,2011OA02609,private,PD,2288.382448106695,2011
137,CLM2011200001855,2011,region_1,2011OA02609,private,PD,859.2993471020056,2011
138,CLM2011100006515,2011,region_1,2011OA02635,private,PD,16738.761638548556,2011
139,CLM2011100006530,2011,region_1,2011OA02639,private,PD,767.9511163634847,2011
140,CLM2011100006579,2011,region_1,2011OA02656,private,PD,2455.3896640950966,2011
141,CLM2011100006714,2011,region_1,2011OA02708,private,PD,3604.038354962304,2011
142,CLM2011200001923,2011,region_1,2011OA02708,private,PD,952.054392997791,2011
143,CLM2011200001949,2011,region_1,2011OA02746,private,PD,2055.093917729036,2011
144,CLM2011100006825,2011,region_1,2011OA02755,private,PD,194.32428009532342,2011
145,CLM2011100006833,2011,region_1,2011OA02762,private,PD,802.005676682136,2011
146,CLM2011100006895,2011,region_1,2011OA02790,private,PD,3295.5168223609403,2011
147,CLM2011100007048,2011,region_1,2011OA02856,private,PD,3548.9694413036705,2011
148,CLM2011300000444,2011,region_1,2011OA02879,private,PD,347.23184124983527,2011
149,CLM2011100007098,2011,region_1,2011OA02881,private,PD,1766.427638361021,2011
150,CLM2011100007121,2011,region_1,2011OA02890,private,PD,56.63856999915655,2011
151,CLM2011100007374,2011,region_1,2011OA03011,private,PD,2814.041447439992,2011
152,CLM2011100007454,2011,region_1,2011OA03043,private,PD,8551.216092472168,2011
153,CLM2011200002128,2011,region_1,2011OA03059,private,PD,2727.32925081423,2011
154,CLM2011200002131,2011,region_1,2011OA03061,private,PD,1042.005656775515,2011
155,CLM2011100007556,2011,region_1,2011OA03078,private,PD,4954.568766757282,2011
156,CLM2011100007715,2011,region_1,2011OA03156,private,PD,1047.5914758928213,2011
157,CLM2011100007830,2011,region_1,2011OA03205,private,PD,744.8263978489354,2011
158,CLM2011100007963,2011,region_1,2011OA03234,private,PD,2304.2138357151844,2011
159,CLM2011200002282,2011,region_1,2011OA03291,private,PD,2223.1894651770363,2011
160,CLM2011100008100,2011,region_1,2011OA03293,private,PD,3027.069705502753,2011
161,CLM2011100008180,2011,region_1,2011OA03321,private,PD,934.1152264223585,2011
162,CLM2011200002304,2011,region_1,2011OA03321,private,PD,842.1014290425584,2011
163,CLM2011100008342,2011,region_1,2011OA03378,private,PD,813.9760070116707,2011
164,CLM2011100008402,2011,region_1,2011OA03401,private,PD,1276.8186214341183,2011
165,CLM2011100008431,2011,region_1,2011OA03408,private,PD,689.7957032085947,2011
166,CLM2011100008470,2011,region_1,2011OA03428,private,PD,2402.626597620179,2011
167,CLM2011100008540,2011,region_1,2011OA03459,private,PD,3617.0941918840686,2011
168,CLM2011100008544,2011,region_1,2011OA03462,private,PD,6735.415532516684,2011
169,CLM2011100008755,2011,region_1,2011OA03542,private,PD,1470.6480632167995,2011
170,CLM2011100008775,2011,region_1,2011OA03552,private,PD,2108.619808514625,2011
171,CLM2011200002484,2011,region_1,2011OA03560,private,PD,1682.284029676547,2011
172,CLM2011100008834,2011,region_1,2011OA03582,private,PD,1917.1784754620764,2011
173,CLM2011100008847,2011,region_1,2011OA03584,private,PD,498.0331028295522,2011
174,CLM2011100009084,2011,region_1,2011OA03681,private,PD,3525.5700846668647,2011
175,CLM2011100009121,2011,region_1,2011OA03699,private,PD,2078.2274989008206,2011
176,CLM2011100009144,2011,region_1,2011OA03705,private,PD,3209.287751236367,2011
177,CLM2011300000564,2011,region_1,2011OA03714,private,PD,1248.3377861625409,2011
178,CLM2011100009217,2011,region_1,2011OA03732,private,PD,2336.1750223386302,2011
179,CLM2011100009238,2011,region_1,2011OA03740,private,PD,1997.3621485746678,2011
180,CLM2011100009247,2011,region_1,2011OA03746,private,PD,1100.0031724456435,2011
181,CLM2011100009346,2011,region_1,2011OA03784,private,PD,2662.8019109050306,2011
182,CLM2011100009407,2011,region_1,2011OA03806,private,PD,458.82862507665044,2011
183,CLM2011100009460,2011,region_1,2011OA03835,private,PD,5518.182426040531,2011
184,CLM2011400000112,2011,region_1,2011OA03835,private,PD,6915.745309471347,2011
185,CLM2011100009474,2011,region_1,2011OA03842,private,PD,67.05488079596628,2011
186,CLM2011100009772,2011,region_1,2011OA03951,private,PD,4987.760775332408,2011
187,CLM2011100009883,2011,region_1,2011OA04001,private,PD,1462.8890065333492,2011
188,CLM2011100009958,2011,region_1,2011OA04025,private,PD,465.16744782763953,2011
189,CLM2011100010046,2011,region_1,2011OA04060,private,PD,661.2005070169288,2011
190,CLM2011100010071,2011,region_1,2011OA04071,private,PD,208.3609989433049,2011
191,CLM2011200002841,2011,region_1,2011OA04071,private,PD,2710.7444010758104,2011
192,CLM2011100010100,2011,region_1,2011OA04087,private,PD,3293.348783143143,2011
193,CLM2011200002902,2011,region_1,2011OA04152,private,PD,3197.49852456897,2011
194,CLM2011100010297,2011,region_1,2011OA04162,private,PD,3283.7629148899437,2011
195,CLM2011100010313,2011,region_1,2011OA04170,private,PD,1779.7039580053372,2011
196,CLM2011100010335,2011,region_1,2011OA04181,private,PD,397.6785451917924,2011
197,CLM2011200002913,2011,region_1,2011OA04181,private,PD,2340.0743940233288,2011
198,CLM2011200002935,2011,region_1,2011OA04205,private,PD,377.7047333698126,2011
199,CLM2011300000644,2011,region_1,2011OA04205,private,PD,1526.1044643038965,2011
200,CLM2011200002964,2011,region_1,2011OA04256,private,PD,127.35716862969376,2011
201,CLM2011100010536,2011,region_1,2011OA04262,private,PD,4834.6428742298185,2011
202,CLM2011200002971,2011,region_1,2011OA04262,private,PD,6873.8223647258255,2011
203,CLM2011100010556,2011,region_1,2011OA04271,private,PD,1827.532812014611,2011
204,CLM2011200002999,2011,region_1,2011OA04311,private,PD,448.299801756064,2011
205,CLM2011300000659,2011,region_1,2011OA04311,private,PD,979.0960444927471,2011
206,CLM2011100010731,2011,region_1,2011OA04344,private,PD,1614.4984775082141,2011
207,CLM2011100010785,2011,region_1,2011OA04374,private,PD,252.8421181590895,2011
208,CLM2011100010813,2011,region_1,2011OA04392,private,PD,1443.7546048606562,2011
209,CLM2011200003070,2011,region_1,2011OA04418,private,PD,1456.707059667704,2011
210,CLM2011100010904,2011,region_1,2011OA04426,private,PD,1302.2805547619903,2011
211,CLM2011100011085,2011,region_1,2011OA04501,private,PD,1429.4897594389115,2011
212,CLM2011100011103,2011,region_1,2011OA04507,private,PD,1055.323699328166,2011
213,CLM2011200003134,2011,region_1,2011OA04507,private,PD,1469.77878490025,2011
214,CLM2011100011118,2011,region_1,2011OA04516,private,PD,8481.850049043707,2011
215,CLM2011100011354,2011,region_1,2011OA04613,private,PD,1874.4197725058555,2011
216,CLM2011100011355,2011,region_1,2011OA04614,private,PD,3931.7400225179354,2011
217,CLM2011100011424,2011,region_1,2011OA04648,private,PD,671.2694813112497,2011
218,CLM2011100011427,2011,region_1,2011OA04650,private,PD,5112.695854540531,2011
219,CLM2011100011531,2011,region_1,2011OA04694,private,PD,213.0483543655134,2011
220,CLM2011100011557,2011,region_1,2011OA04703,private,PD,1309.223891841568,2011
221,CLM2011100011562,2011,region_1,2011OA04707,private,PD,336.0357150310247,2011
222,CLM2011100011714,2011,region_1,2011OA04768,private,PD,5478.946407342981,2011
223,CLM2011100011718,2011,region_1,2011OA04769,private,PD,156.53282755608168,2011
224,CLM2011300000748,2011,region_1,2011OA04793,private,PD,3946.4994569929886,2011
225,CLM2011100011805,2011,region_1,2011OA04797,private,PD,5613.811909333446,2011
226,CLM2011200003326,2011,region_1,2011OA04797,private,PD,3292.435462646644,2011
227,CLM2011100011826,2011,region_1,2011OA04804,private,PD,2047.0582477534488,2011
228,CLM2011100011829,2011,region_1,2011OA04805,private,PD,4826.521787271101,2011
229,CLM2011100011850,2011,region_1,2011OA04815,private,PD,488.8053426763974,2011
230,CLM2011200003336,2011,region_1,2011OA04815,private,PD,1987.9572283116659,2011
231,CLM2011300000749,2011,region_1,2011OA04815,private,PD,3247.275643191015,2011
232,CLM2011100011856,2011,region_1,2011OA04820,private,PD,1907.1213186874752,2011
233,CLM2011100011870,2011,region_1,2011OA04827,private,PD,4036.674911041505,2011
234,CLM2011200003342,2011,region_1,2011OA04827,private,PD,5385.8947599195035,2011
235,CLM2011100011913,2011,region_1,2011OA04841,private,PD,16449.31730134461,2011
236,CLM2011100012032,2011,region_1,2011OA04903,private,PD,2451.718250298739,2011
237,CLM2011200003398,2011,region_1,2011OA04909,private,PD,4202.961641642339,2011
238,CLM2011100012077,2011,region_1,2011OA04928,private,PD,1426.3517439183904,2011
239,CLM2011100012289,2011,region_1,2011OA05014,private,PD,2560.512552446558,2011
240,CLM2011200003462,2011,region_1,2011OA05023,private,PD,784.0586213371173,2011
241,CLM2011300000772,2011,region_1,2011OA05023,private,PD,4240.496725656472,2011
242,CLM2011100012371,2011,region_1,2011OA05052,private,PD,8743.750767026053,2011
243,CLM2011100012374,2011,region_1,2011OA05053,private,PD,2426.55113515761,2011
244,CLM2011100012513,2011,region_1,2011OA05102,private,PD,3990.2941149986955,2011
245,CLM2011100012532,2011,region_1,2011OA05106,private,PD,3167.43899300405,2011
246,CLM2011200003529,2011,region_1,2011OA05109,private,PD,501.81856874594524,2011
247,CLM2011200003561,2011,region_1,2011OA05158,private,PD,2570.9379952841205,2011
248,CLM2011100012682,2011,region_1,2011OA05165,private,PD,711.4527773842475,2011
249,CLM2011100012693,2011,region_1,2011OA05168,private,PD,651.8594155319923,2011
250,CLM2011200003571,2011,region_1,2011OA05168,private,PD,1221.8271384918228,2011
251,CLM2011100012859,2011,region_1,2011OA05228,private,PD,4156.840393935417,2011
252,CLM2011100012875,2011,region_1,2011OA05235,private,PD,1423.781549178396,2011
253,CLM2011300000814,2011,region_1,2011OA05252,private,PD,989.5323463271592,2011
254,CLM2011100012925,2011,region_1,2011OA05261,private,PD,813.7579249877338,2011
255,CLM2011100013031,2011,region_1,2011OA05297,private,PD,2593.048733799786,2011
256,CLM2011200003665,2011,region_1,2011OA05297,private,PD,3311.44313035639,2011
257,CLM2011200003668,2011,region_1,2011OA05304,private,PD,3554.653694436928,2011
258,CLM2011100013131,2011,region_1,2011OA05330,private,PD,1814.8298293657192,2011
259,CLM2011100013219,2011,region_1,2011OA05369,private,PD,1222.864933512582,2011
260,CLM2011100013245,2011,region_1,2011OA05377,private,PD,1421.5215967680213,2011
261,CLM2011100013363,2011,region_1,2011OA05442,private,PD,2167.968676324822,2011
262,CLM2011100013412,2011,region_1,2011OA05471,private,PD,947.9971625753558,2011
263,CLM2011200003765,2011,region_1,2011OA05471,private,PD,2738.526129743335,2011
264,CLM2011200003781,2011,region_1,2011OA05496,private,PD,11687.878446843226,2011
265,CLM2011100013529,2011,region_1,2011OA05539,private,PD,607.0987626485053,2011
266,CLM2011100013573,2011,region_1,2011OA05559,private,PD,2095.389411452001,2011
267,CLM2011100013658,2011,region_1,2011OA05596,private,PD,1572.1485037993539,2011
268,CLM2011200003869,2011,region_1,2011OA05616,private,PD,769.9637617104205,2011
269,CLM2011100013981,2011,region_1,2011OA05702,private,PD,2198.545154082924,2011
270,CLM2011200003955,2011,region_1,2011OA05711,private,PD,697.4098701897069,2011
271,CLM2011100013997,2011,region_1,2011OA05714,private,PD,1627.2074161859946,2011
272,CLM2011200003959,2011,region_1,2011OA05714,private,PD,2201.5158477724085,2011
273,CLM2011100014114,2011,region_1,2011OA05771,private,PD,7988.198917678437,2011
274,CLM2011100014228,2011,region_1,2011OA05817,private,PD,2581.550804609534,2011
275,CLM2011100014378,2011,region_1,2011OA05879,private,PD,3437.2018032271044,2011
276,CLM2011100014409,2011,region_1,2011OA05894,private,PD,6189.126269581148,2011
277,CLM2011100014611,2011,region_1,2011OA05955,private,PD,717.1063532189077,2011
278,CLM2011100014625,2011,region_1,2011OA05964,private,PD,402.8168843322699,2011
279,CLM2011100014704,2011,region_1,2011OA05996,private,PD,876.619404382532,2011
280,CLM2011200004149,2011,region_1,2011OA05996,private,PD,489.7378687106877,2011
281,CLM2011100014837,2011,region_1,2011OA06050,private,PD,21872.872170051553,2011
282,CLM2011200004202,2011,region_1,2011OA06050,private,PD,11351.858683306109,2011
283,CLM2011100014878,2011,region_1,2011OA06059,private,PD,1386.1721844857634,2011
284,CLM2011100015020,2011,region_1,2011OA06116,private,PD,1347.892093501215,2011
285,CLM2011100015036,2011,region_1,2011OA06125,private,PD,2169.3148487569474,2011
286,CLM2011100015093,2011,region_1,2011OA06145,private,PD,1074.5080039434283,2011
287,CLM2011100015130,2011,region_1,2011OA06150,private,PD,2297.3783652047055,2011
288,CLM2011100015253,2011,region_1,2011OA06203,private,PD,1908.8030155584777,2011
289,CLM2011100015280,2011,region_1,2011OA06224,private,PD,1457.1075320157634,2011
290,CLM2011100015288,2011,region_1,2011OA06227,private,PD,459.24172765664593,2011
291,CLM2011100015301,2011,region_1,2011OA06235,private,PD,9100.327126931305,2011
292,CLM2011200004352,2011,region_1,2011OA06273,private,PD,2244.823395479794,2011
293,CLM2011100015459,2011,region_1,2011OA06304,private,PD,1965.8145345442365,2011
294,CLM2011100015570,2011,region_1,2011OA06355,private,PD,4444.651676357734,2011
295,CLM2011100015729,2011,region_1,2011OA06410,private,PD,3919.7957501979904,2011
296,CLM2011100015763,2011,region_1,2011OA06425,private,PD,866.1880816464228,2011
297,CLM2011100015842,2011,region_1,2011OA06469,private,PD,13050.621939479312,2011
298,CLM2011100015872,2011,region_1,2011OA06486,private,PD,163.42769420276474,2011
299,CLM2011100015902,2011,region_1,2011OA06501,private,PD,1186.8040129961369,2011
300,CLM2011200004511,2011,region_1,2011OA06502,private,PD,3006.645952943896,2011
301,CLM2011100016049,2011,region_1,2011OA06575,private,PD,419.0787466628342,2011
302,CLM2011100016095,2011,region_1,2011OA06587,private,PD,2606.8658135931773,2011
303,CLM2011100016096,2011,region_1,2011OA06588,private,PD,319.7131934240393,2011
304,CLM2011100016104,2011,region_1,2011OA06594,private,PD,3357.4556088658696,2011
305,CLM2011200004575,2011,region_1,2011OA06594,private,PD,19609.397873893777,2011
306,CLM2011100016190,2011,region_1,2011OA06618,private,PD,2808.043578018052,2011
307,CLM2011200004618,2011,region_1,2011OA06641,private,PD,1200.636900617878,2011
308,CLM2011100016293,2011,region_1,2011OA06646,private,PD,976.26835829437,2011
309,CLM2011100016328,2011,region_1,2011OA06657,private,PD,1046.558999750058,2011
310,CLM2011100016361,2011,region_1,2011OA06667,private,PD,3338.2735376801793,2011
311,CLM2011100016407,2011,region_1,2011OA06685,private,PD,593.9762472207005,2011
312,CLM2011100016418,2011,region_1,2011OA06686,private,PD,557.1013053779171,2011
313,CLM2011100016452,2011,region_1,2011OA06706,private,PD,5297.817306945463,2011
314,CLM2011100016489,2011,region_1,2011OA06724,private,PD,7210.31652777415,2011
315,CLM2011100016503,2011,region_1,2011OA06730,private,PD,6056.8796198093205,2011
316,CLM2011100016504,2011,region_1,2011OA06731,private,PD,659.7588910151812,2011
317,CLM2011100016620,2011,region_1,2011OA06773,private,PD,9002.882029463244,2011
318,CLM2011100016639,2011,region_1,2011OA06778,private,PD,5739.226537547608,2011
319,CLM2011100016688,2011,region_1,2011OA06796,private,PD,813.9518569288884,2011
320,CLM2011100016711,2011,region_1,2011OA06809,private,PD,2164.9675629241715,2011
321,CLM2011100016713,2011,region_1,2011OA06810,private,PD,3845.9946636148898,2011
322,CLM2011200004729,2011,region_1,2011OA06810,private,PD,175.26015913627828,2011
323,CLM2011100016750,2011,region_1,2011OA06818,private,PD,806.7747440446907,2011
324,CLM2011100016769,2011,region_1,2011OA06825,private,PD,811.2487726480983,2011
325,CLM2011100016807,2011,region_1,2011OA06844,private,PD,3411.248491323691,2011
326,CLM2011100016831,2011,region_1,2011OA06849,private,PD,1159.3125388408994,2011
327,CLM2011100016919,2011,region_1,2011OA06893,private,PD,1074.6371804256498,2011
328,CLM2011100016949,2011,region_1,2011OA06900,private,PD,415.08099244168443,2011
329,CLM2011100016969,2011,region_1,2011OA06906,private,PD,1781.5523214575892,2011
330,CLM2011100017046,2011,region_1,2011OA06937,private,PD,752.0305148583562,2011
331,CLM2011100017048,2011,region_1,2011OA06939,private,PD,1603.0497988103998,2011
332,CLM2011100017108,2011,region_1,2011OA06955,private,PD,2397.1895170850453,2011
333,CLM2011200004835,2011,region_1,2011OA06955,private,PD,802.8819165894255,2011
334,CLM2011100017118,2011,region_1,2011OA06958,private,PD,2860.9866998027637,2011
335,CLM2011200004843,2011,region_1,2011OA06964,private,PD,209.52352551551203,2011
